Unnamed: 0,count,company,tod,used,old_date,date
116,2218,birdla,  4:28:31,0,1/11/2020 16:30,1/11/2020 16:30
116,547,birdsm,  4:30:01,5,1/11/2020 16:30,1/11/2020 16:30
116,5121,lime,  4:28:28,-6,1/11/2020 16:30,1/11/2020 16:30
116,255,spin,  4:30:01,9,1/11/2020 16:30,1/11/2020 16:30
117,2212,birdla,  4:43:32,-6,1/11/2020 16:45,1/11/2020 16:45
117,555,birdsm,  4:45:01,8,1/11/2020 16:45,1/11/2020 16:45
117,5122,lime,  4:43:30,1,1/11/2020 16:45,1/11/2020 16:45
117,269,spin,  4:45:02,14,1/11/2020 16:45,1/11/2020 16:45
118,2229,birdla,  4:58:32,17,1/11/2020 17:00,1/11/2020 17:00
118,559,birdsm,  5:00:01,4,1/11/2020 17:00,1/11/2020 17:00
118,5123,lime,  4:58:28,1,1/11/2020 17:00,1/11/2020 17:00
118,279,spin,  4:59:33,10,1/11/2020 17:00,1/11/2020 17:00
119,2226,birdla,  5:13:31,-3,1/11/2020 17:15,1/11/2020 17:15
119,552,birdsm,  5:15:02,-7,1/11/2020 17:15,1/11/2020 17:15
119,5131,lime,  5:13:28,8,1/11/2020 17:15,1/11/2020 17:15
119,295,spin,  5:15:32,16,1/11/2020 17:15,1/11/2020 17:15
25,2321,birdla,  5:30:08,-5,1/11/2020 17:30,1/11/2020 17:30
120,544,birdsm,  5:30:08,-8,1/11/2020 17:30,1/11/2020 17:30
25,5324,lime,  5:30:05,8,1/11/2020 17:30,1/11/2020 17:30
25,302,spin,  5:30:08,7,1/11/2020 17:30,1/11/2020 17:30
25,540,wheels,  5:30:01,14,1/11/2020 17:30,1/11/2020 17:30
26,2315,birdla,  5:45:05,-6,1/11/2020 17:45,1/11/2020 17:45
26,553,birdsm,  5:45:05,9,1/11/2020 17:45,1/11/2020 17:45
26,5322,lime,  5:45:02,-2,1/11/2020 17:45,1/11/2020 17:45
26,305,spin,  5:45:05,3,1/11/2020 17:45,1/11/2020 17:45
